id,ra,dec,obj_type
7006637300150005914600060103,35.493066,-3.5779538,Error
7006294500150005914600060103,35.741595,-4.311314,Error
7006294700150005914600060103,35.907666,-4.2868646,No SDSS Spectro
7006292700150005914600060103,35.966651,-4.3229671,Error
7006293200150005914600060103,35.968966,-4.306041,No SDSS Spectro
7006496000150005914600060103,35.952646,-4.2327506,Error
7006597500150005914600060103,35.870396,-4.0263498,Error
7006494300150005914600060103,36.117786,-4.1934138,Error
7006483600150005914600060103,36.28092,-4.3099473,No SDSS Spectro
7006486900150005914600060103,36.21666,-4.2030424,Error
7006494800150005914600060103,36.181455,-4.1651482,Error
7006492800150005914600060103,36.289841,-4.1439881,Error
7006599500150005914600060103,36.073582,-3.9941598,No SDSS Spectro
7006499000150005914600060103,36.213186,-4.0909981,Error
7006598700150005914600060103,35.773953,-3.9696923,Error
7006599400150005914600060103,35.864566,-3.8991126,No SDSS Spectro
7006632300150005914600060103,35.739829,-3.6755524,No SDSS Spectro
7006611900150005914600060103,35.81598,-3.6560448,Error
7006501400150005914600060103,36.188935,-3.9193133,Error
7006612800150005914600060103,36.243266,-3.7972536,No SDSS Spectro
7006491200150005914600060103,36.33653,-4.2129848,Error
7006489900150005914600060103,36.489171,-4.2277407,Error
7006499400150005914600060103,36.319214,-4.0866809,Error
7006512700150005914600060103,36.382902,-3.9789826,No SDSS Spectro
11769510900150005914600060103,36.552845,-4.055478,Error
7006505300150005914600060103,36.50013,-3.9984648,No SDSS Spectro
7006471600150005914600060103,36.683069,-4.274131,No SDSS Spectro
7006514500150005914600060103,36.331246,-3.9122373,Error
7006516500150005914600060103,36.333446,-3.8222636,Error
7006516300150005914600060103,36.415579,-3.8255479,Error
7006513500150005914600060103,36.516482,-3.9056921,No SDSS Spectro
7006634400150005914600060103,35.733239,-3.5939543,No SDSS Spectro
7005783300150005914600060103,37.08334,-5.4767635,No SDSS Spectro
7005793700150005914600060103,36.940639,-5.3198633,Error
7005796200150005914600060103,36.921866,-5.2105223,Error
7005794600150005914600060103,36.997296,-5.1970663,No SDSS Spectro
7005787100150005914600060103,37.11188,-5.2676708,No SDSS Spectro
7006012900150005914600060103,37.090108,-5.165526,Error
7006043900150005914600060103,36.968892,-5.0246581,Error
7006015200150005914600060103,37.056661,-5.0614988,No SDSS Spectro
7006015600150005914600060103,37.114875,-5.0398612,Error
7006045300150005914600060103,37.078838,-4.926714,No SDSS Spectro
7006050800150005914600060103,36.977583,-4.7598514,Error
7006051800150005914600060103,37.038017,-4.7323308,Error
7006061200150005914600060103,36.930515,-4.5930957,No SDSS Spectro
7006062100150005914600060103,36.871816,-4.5410611,Error
7006074600150005914600060103,36.999566,-4.4610492,No SDSS Spectro
7006058600150005914600060103,37.042807,-4.6337291,No SDSS Spectro
7006461300150005914600060103,36.881499,-4.4460296,Error
7006461400150005914600060103,36.962278,-4.4089372,Error
12137103200150005914600060103,34.945715,-5.9236799,Error
12141091500150005914600060103,35.029608,-5.8847619,Error
12141093400150005914600060103,35.354084,-6.2932251,Error
11769729800150005914600060103,35.614697,-6.2160015,No SDSS Spectro
12141101400150005914600060103,35.585907,-6.1676301,No SDSS Spectro
12326740900150005914600060103,35.386454,-5.9120104,No SDSS Spectro
7005739400150005914600060103,35.640165,-5.8174293,Error
12326731400150005914600060103,35.841345,-6.262842,No SDSS Spectro
11769699300150005914600060103,35.709507,-6.0268517,No SDSS Spectro
12141070100150005914600060103,35.745435,-5.9661795,Error
12326768100150005914600060103,35.793431,-5.8507234,Error
12326815700150005914600060103,36.204144,-6.0802568,No SDSS Spectro
12141156900150005914600060103,36.348708,-6.0983902,No SDSS Spectro
12141118400150005914600060103,36.528348,-5.8480236,No SDSS Spectro
11955520100150005914600060103,36.642196,-5.8224503,No SDSS Spectro
12322814400150005914600060103,34.662398,-5.5439865,Error
12322815200150005914600060103,34.806822,-5.5175674,Error
12137059300150005914600060103,34.853499,-5.8136593,No SDSS Spectro
12137102200150005914600060103,34.936676,-5.7631037,No SDSS Spectro
11951503500150005914600060103,34.647448,-5.3510068,No SDSS Spectro
11951516800150005914600060103,34.791692,-5.4919286,Error
11765791700150005914600060103,34.798134,-5.3835178,No SDSS Spectro
11765762000150005914600060103,34.535691,-5.206798,Error
11951524400150005914600060103,34.914629,-5.4774458,No SDSS Spectro
11955486400150005914600060103,35.364989,-5.7873619,Error
11955503700150005914600060103,35.352974,-5.5508532,No SDSS Spectro
7005740900150005914600060103,35.500031,-5.8021681,Error
12326745100150005914600060103,35.6477,-5.7825386,Error
11769734400150005914600060103,35.586168,-5.5417411,Error
11955503400150005914600060103,35.191322,-5.4047213,No SDSS Spectro
12141107100150005914600060103,35.427723,-5.3438368,Error
12326772400150005914600060103,35.641438,-5.296313,No SDSS Spectro
11955506300150005914600060103,35.623452,-5.138394,Error
11765778300150005914600060103,34.846562,-5.1284865,Error
11765512700150005914600060103,34.886078,-4.7849914,No SDSS Spectro
12322575300150005914600060103,34.622864,-4.5580622,No SDSS Spectro
12322553800150005914600060103,34.844407,-4.6827377,Error
11951262200150005914600060103,34.963556,-4.5712246,Error
11955511600150005914600060103,35.112677,-5.0672346,No SDSS Spectro
11769707200150005914600060103,35.661491,-5.0644542,Error
11769481800150005914600060103,35.238098,-4.4625881,No SDSS Spectro
11769728600150005914600060103,35.751216,-5.763167,Error
12326734800150005914600060103,35.830962,-5.4515185,No SDSS Spectro
11769765800150005914600060103,36.149207,-5.6126454,Error
12326792800150005914600060103,36.180036,-5.526878,Error
12326793500150005914600060103,36.267283,-5.4714728,No SDSS Spectro
11955505300150005914600060103,35.959725,-5.2197304,Error
11955504900150005914600060103,35.890689,-5.1396561,No SDSS Spectro
12326803800150005914600060103,36.280814,-5.2611749,No SDSS Spectro
12141143300150005914600060103,36.24068,-5.2309485,No SDSS Spectro
11769731900150005914600060103,36.076687,-5.1763843,Error
11955540600150005914600060103,36.161113,-5.1962799,Error
12326793600150005914600060103,36.326401,-5.6062679,No SDSS Spectro
12326784500150005914600060103,36.474122,-5.719493,Error
11955520700150005914600060103,36.510233,-5.6078525,Error
11769760200150005914600060103,36.676291,-5.4107889,Error
12326800100150005914600060103,36.801734,-5.5196403,No SDSS Spectro
7005789400150005914600060103,36.858846,-5.3613235,Error
12141144000150005914600060103,36.335381,-5.3649455,No SDSS Spectro
12141146100150005914600060103,36.358494,-5.2130731,No SDSS Spectro
12141162300150005914600060103,36.510692,-5.0267477,Error
7006214900150005914600060103,35.860258,-4.9517106,Error
11769458900150005914600060103,35.913722,-4.8945671,No SDSS Spectro
12326499600150005914600060103,35.974467,-4.918945,Error
11955253100150005914600060103,35.772183,-4.812444,Error
11955321300150005914600060103,36.190669,-4.8786171,No SDSS Spectro
12326474500150005914600060103,35.956944,-4.6234866,No SDSS Spectro
11955196300150005914600060103,35.94602,-4.5633625,Error
7006288100150005914600060103,35.805899,-4.5206855,No SDSS Spectro
12326584000150005914600060103,36.151948,-4.4230036,Error
7005830800150005914600060103,36.401281,-5.0021544,No SDSS Spectro
12140909700150005914600060103,36.40651,-4.9112346,No SDSS Spectro
12326548000150005914600060103,36.423521,-4.5715182,Error
11769507900150005914600060103,36.483495,-4.5391071,Error
11955274600150005914600060103,36.425119,-4.4114063,Error
11769504400150005914600060103,36.603944,-4.3671168,No SDSS Spectro
11765540400150005914600060103,34.923704,-4.3903512,No SDSS Spectro
11951268000150005914600060103,34.862921,-4.3064918,Error
12136865700150005914600060103,34.87044,-4.116705,Error
12326473600150005914600060103,35.242294,-4.2595246,No SDSS Spectro
12326529900150005914600060103,35.384406,-4.0168545,Error
12326485900150005914600060103,35.557286,-4.3560762,Error
12326490500150005914600060103,35.14453,-3.8346115,No SDSS Spectro
7006434100150005914600060103,35.202676,-3.8309913,No SDSS Spectro
12140836900150005914600060103,35.683565,-3.9572079,Error
11769480600150005914600060103,35.743652,-4.111599,No SDSS Spectro
7006596400150005914600060103,35.817103,-4.084477,Error
11955256100150005914600060103,35.834793,-3.9872202,Error
11769528600150005914600060103,36.113885,-4.0956851,Error
11955297000150005914600060103,36.051648,-4.0328351,No SDSS Spectro
12326568700150005914600060103,36.251403,-4.010575,No SDSS Spectro
12326528300150005914600060103,35.999532,-3.9634043,Error
11955301100150005914600060103,36.185698,-3.8055588,No SDSS Spectro
12140865900150005914600060103,36.554403,-4.1243329,No SDSS Spectro
11955516600150005914600060103,36.906842,-5.332768,No SDSS Spectro
11955535500150005914600060103,36.977009,-5.1163999,Error
12141135700150005914600060103,37.009578,-5.02182,No SDSS Spectro
11955287100150005914600060103,36.983869,-4.9099186,No SDSS Spectro
11769521600150005914600060103,37.052793,-4.9541532,Error
11769531800150005914600060103,36.882856,-4.6277214,No SDSS Spectro
1852736800150005914600060103,35.366403,-4.413581,No SDSS Spectro
408595600150005914600060103,36.193829,-4.779437,No SDSS Spectro
5094107200150005914600060103,34.859619,-6.1514773,No SDSS Spectro
5094421000150005914600060103,36.975861,-5.2997669,No SDSS Spectro
5094438900150005914600060103,36.577606,-5.1897318,No SDSS Spectro
5094559500150005914600060103,36.99234,-5.0305658,No SDSS Spectro
5094778400150005914600060103,34.874725,-4.6328185,No SDSS Spectro
5094827800150005914600060103,35.297699,-4.0740063,No SDSS Spectro
5094834700150005914600060103,34.963989,-4.2598416,No SDSS Spectro
,34.510551,-4.8790998,No SDSS Spectro
,34.518736,-4.9959562,No SDSS Spectro
,34.629829,-5.3109849,No SDSS Spectro
,34.653784,-5.3803827,No SDSS Spectro
,34.824833,-4.6208372,No SDSS Spectro
,34.8434,-5.9722266,No SDSS Spectro
,34.963889,-4.1103152,No SDSS Spectro
,35.076112,-5.0917211,No SDSS Spectro
,35.088121,-5.3434278,No SDSS Spectro
,35.164381,-4.5449568,No SDSS Spectro
,35.170576,-4.8272334,No SDSS Spectro
,35.220178,-6.0097711,No SDSS Spectro
,35.235988,-5.7095366,No SDSS Spectro
,35.299331,-3.8134855,No SDSS Spectro
,35.441771,-5.505269,No SDSS Spectro
,35.470934,-5.2237085,No SDSS Spectro
,35.522272,-6.3882497,No SDSS Spectro
,35.52822,-6.2567484,No SDSS Spectro
,35.560463,-4.821766,No SDSS Spectro
,35.569916,-4.5964147,No SDSS Spectro
,35.692902,-4.0019519,No SDSS Spectro
,35.716272,-3.8265745,No SDSS Spectro
,35.760288,-5.0072131,No SDSS Spectro
,35.783786,-5.3670644,No SDSS Spectro
,35.824272,-5.8483095,No SDSS Spectro
,35.857343,-5.8224531,No SDSS Spectro
,35.986458,-4.8446855,No SDSS Spectro
,35.99102,-4.4723,No SDSS Spectro
,36.074749,-4.2655327,No SDSS Spectro
,36.116986,-4.0750499,No SDSS Spectro
,36.174384,-5.5482751,No SDSS Spectro
,36.182597,-5.432065,No SDSS Spectro
,36.200895,-5.2879367,No SDSS Spectro
,36.218222,-5.7714477,No SDSS Spectro
,36.313974,-4.848093,No SDSS Spectro
,36.361936,-4.0970635,No SDSS Spectro
,36.400081,-4.4386302,No SDSS Spectro
,36.421833,-4.2608558,No SDSS Spectro
,36.564139,-4.9718086,No SDSS Spectro
