id,ra,dec,obj_type,prob_Galaxy,prob_Star,prob_QSO
7005777300150005914600060103,36.482265,-5.5536291,No class,-1,-1,-1
7005777700150005914600060103,36.508783,-5.515219,No class,-1,-1,-1
7005801300150005914600060103,36.481596,-5.4394195,No class,-1,-1,-1
7005768100150005914600060103,36.615073,-5.6857975,No class,-1,-1,-1
7005769800150005914600060103,36.701757,-5.6266855,No class,-1,-1,-1
7005788400150005914600060103,36.788669,-5.4260501,No class,-1,-1,-1
7005814100150005914600060103,36.570522,-5.3647231,No class,-1,-1,-1
7005816400150005914600060103,36.478611,-5.2318077,No class,-1,-1,-1
7005827100150005914600060103,36.390803,-5.1339176,No class,-1,-1,-1
7005791700150005914600060103,36.6211,-5.3406821,No class,-1,-1,-1
7005795200150005914600060103,36.824526,-5.2733159,No class,-1,-1,-1
7005820700150005914600060103,36.718865,-5.1056009,No class,-1,-1,-1
7005824200150005914600060103,36.628296,-5.0978289,No class,-1,-1,-1
7005819700150005914600060103,36.743174,-5.1730319,No class,-1,-1,-1
7005820100150005914600060103,36.790309,-5.1336283,No class,-1,-1,-1
7006232400150005914600060103,35.745446,-4.9812354,No class,-1,-1,-1
7006231600150005914600060103,35.994356,-4.8977184,No class,-1,-1,-1
7006265300150005914600060103,35.731332,-4.7362476,No class,-1,-1,-1
7006233500150005914600060103,35.888538,-4.8230077,No class,-1,-1,-1
7006248200150005914600060103,35.978401,-4.8041935,No class,-1,-1,-1
7006237400150005914600060103,36.121325,-4.9688379,No class,-1,-1,-1
7006238600150005914600060103,36.121842,-4.8845679,No class,-1,-1,-1
7006237600150005914600060103,36.202877,-4.9352823,No class,-1,-1,-1
7006237100150005914600060103,36.269963,-4.8964073,No class,-1,-1,-1
7006246100150005914600060103,36.048143,-4.8131476,No class,-1,-1,-1
7006246900150005914600060103,36.137253,-4.7950972,No class,-1,-1,-1
7006239500150005914600060103,36.158016,-4.8340666,No class,-1,-1,-1
7006278300150005914600060103,35.906335,-4.668395,No class,-1,-1,-1
7006278700150005914600060103,35.981284,-4.6088569,No class,-1,-1,-1
7006288200150005914600060103,35.723401,-4.4914508,No class,-1,-1,-1
7006291400150005914600060103,35.814127,-4.433365,No class,-1,-1,-1
7006284300150005914600060103,35.967474,-4.508854,No class,-1,-1,-1
7006292000150005914600060103,35.919939,-4.3821004,No class,-1,-1,-1
7006249400150005914600060103,36.098432,-4.6852045,No class,-1,-1,-1
7006281800150005914600060103,36.100735,-4.5416633,No class,-1,-1,-1
7006255700150005914600060103,36.20779,-4.5072066,No class,-1,-1,-1
7006282700150005914600060103,36.031847,-4.5034385,No class,-1,-1,-1
7006283800150005914600060103,36.162391,-4.4517559,No class,-1,-1,-1
7006481600150005914600060103,36.186326,-4.391831,No class,-1,-1,-1
7005836100150005914600060103,36.491895,-4.9558115,No class,-1,-1,-1
7006242500150005914600060103,36.309973,-4.7834167,No class,-1,-1,-1
7006243500150005914600060103,36.362067,-4.7556315,No class,-1,-1,-1
7006243700150005914600060103,36.364665,-4.7094874,No class,-1,-1,-1
7006240700150005914600060103,36.470569,-4.8369138,No class,-1,-1,-1
7006440300150005914600060103,36.488589,-4.7167544,No class,-1,-1,-1
7006052700150005914600060103,36.692741,-4.8654273,No class,-1,-1,-1
7005825300150005914600060103,36.818843,-5.0023507,No class,-1,-1,-1
7006052600150005914600060103,36.789687,-4.8550896,No class,-1,-1,-1
7006056300150005914600060103,36.749583,-4.7418386,No class,-1,-1,-1
7006054200150005914600060103,36.8041,-4.7767829,No class,-1,-1,-1
7006251300150005914600060103,36.313976,-4.6691849,No class,-1,-1,-1
7006444600150005914600060103,36.552709,-4.5670717,No class,-1,-1,-1
7006445700150005914600060103,36.574436,-4.5192043,No class,-1,-1,-1
7006453900150005914600060103,36.35786,-4.4871182,No class,-1,-1,-1
7006454800150005914600060103,36.331193,-4.4527467,No class,-1,-1,-1
7006453200150005914600060103,36.431424,-4.4762831,No class,-1,-1,-1
7006456100150005914600060103,36.376151,-4.3524462,No class,-1,-1,-1
7006455800150005914600060103,36.40486,-4.3591528,No class,-1,-1,-1
7006456800150005914600060103,36.540153,-4.4105533,No class,-1,-1,-1
7006456900150005914600060103,36.505336,-4.3809873,No class,-1,-1,-1
7006459000150005914600060103,36.532383,-4.3119962,No class,-1,-1,-1
7006442400150005914600060103,36.650326,-4.5747426,No class,-1,-1,-1
7006441200150005914600060103,36.711701,-4.6265908,No class,-1,-1,-1
7006448400150005914600060103,36.70416,-4.4629455,No class,-1,-1,-1
7006450000150005914600060103,36.727783,-4.3630783,No class,-1,-1,-1
7006414200150005914600060103,34.653246,-4.2637858,No class,-1,-1,-1
7006407800150005914600060103,34.769764,-4.2798937,No class,-1,-1,-1
7006408100150005914600060103,34.802726,-4.1867683,No class,-1,-1,-1
7006417900150005914600060103,34.789756,-4.1407356,No class,-1,-1,-1
7006411700150005914600060103,34.889927,-4.2210365,No class,-1,-1,-1
7006411500150005914600060103,34.924668,-4.2259219,No class,-1,-1,-1
7006378100150005914600060103,35.033475,-4.3420827,No class,-1,-1,-1
7006378500150005914600060103,35.102807,-4.2994201,No class,-1,-1,-1
7006408300150005914600060103,34.992285,-4.2854985,No class,-1,-1,-1
7006379700150005914600060103,35.105806,-4.2388098,No class,-1,-1,-1
7006412000150005914600060103,34.853263,-4.1812339,No class,-1,-1,-1
7006419700150005914600060103,34.956134,-4.0518608,No class,-1,-1,-1
7006408400150005914600060103,35.091745,-4.143671,No class,-1,-1,-1
7006420600150005914600060103,34.908672,-4.013825,No class,-1,-1,-1
7006433600150005914600060103,34.939694,-3.7816671,No class,-1,-1,-1
11955214000150005914600060103,35.106679,-3.820731,No class,-1,-1,-1
7006379200150005914600060103,35.143673,-4.2510799,No class,-1,-1,-1
7006383400150005914600060103,35.386409,-4.3605113,No class,-1,-1,-1
7006392700150005914600060103,35.295958,-4.2338857,No class,-1,-1,-1
7006392300150005914600060103,35.358739,-4.2806104,No class,-1,-1,-1
7006424500150005914600060103,35.135029,-4.0589701,No class,-1,-1,-1
7006396700150005914600060103,35.286868,-4.1221957,No class,-1,-1,-1
7006396000150005914600060103,35.334739,-4.1262649,No class,-1,-1,-1
7006386800150005914600060103,35.475916,-4.249606,No class,-1,-1,-1
7006394100150005914600060103,35.461058,-4.2062502,No class,-1,-1,-1
7006382100150005914600060103,35.569702,-4.2888646,No class,-1,-1,-1
7006388300150005914600060103,35.692685,-4.2474581,No class,-1,-1,-1
7006390700150005914600060103,35.555522,-4.1750598,No class,-1,-1,-1
7006398200150005914600060103,35.518054,-4.0429116,No class,-1,-1,-1
7006399000150005914600060103,35.627918,-4.0573008,No class,-1,-1,-1
7006399100150005914600060103,35.618376,-4.0314079,No class,-1,-1,-1
7006425100150005914600060103,35.286755,-3.9955696,No class,-1,-1,-1
7006429200150005914600060103,35.271559,-3.9336391,No class,-1,-1,-1
7006427700150005914600060103,35.35395,-3.9610275,No class,-1,-1,-1
7006428600150005914600060103,35.370736,-3.910715,No class,-1,-1,-1
7006401800150005914600060103,35.419495,-3.9737149,No class,-1,-1,-1
7006627200150005914600060103,35.536065,-3.8061379,No class,-1,-1,-1
7006637300150005914600060103,35.493066,-3.5779538,No class,-1,-1,-1
7006294500150005914600060103,35.741595,-4.311314,No class,-1,-1,-1
7006294700150005914600060103,35.907666,-4.2868646,No class,-1,-1,-1
7006292700150005914600060103,35.966651,-4.3229671,No class,-1,-1,-1
7006293200150005914600060103,35.968966,-4.306041,No class,-1,-1,-1
7006496000150005914600060103,35.952646,-4.2327506,No class,-1,-1,-1
7006597500150005914600060103,35.870396,-4.0263498,No class,-1,-1,-1
7006494300150005914600060103,36.117786,-4.1934138,No class,-1,-1,-1
7006483600150005914600060103,36.28092,-4.3099473,No class,-1,-1,-1
7006486900150005914600060103,36.21666,-4.2030424,No class,-1,-1,-1
7006494800150005914600060103,36.181455,-4.1651482,No class,-1,-1,-1
7006492800150005914600060103,36.289841,-4.1439881,No class,-1,-1,-1
7006599500150005914600060103,36.073582,-3.9941598,No class,-1,-1,-1
7006499000150005914600060103,36.213186,-4.0909981,No class,-1,-1,-1
7006598700150005914600060103,35.773953,-3.9696923,No class,-1,-1,-1
7006599400150005914600060103,35.864566,-3.8991126,No class,-1,-1,-1
7006632300150005914600060103,35.739829,-3.6755524,No class,-1,-1,-1
7006611900150005914600060103,35.81598,-3.6560448,No class,-1,-1,-1
7006501400150005914600060103,36.188935,-3.9193133,No class,-1,-1,-1
7006612800150005914600060103,36.243266,-3.7972536,No class,-1,-1,-1
7006491200150005914600060103,36.33653,-4.2129848,No class,-1,-1,-1
7006489900150005914600060103,36.489171,-4.2277407,No class,-1,-1,-1
7006499400150005914600060103,36.319214,-4.0866809,No class,-1,-1,-1
7006512700150005914600060103,36.382902,-3.9789826,No class,-1,-1,-1
11769510900150005914600060103,36.552845,-4.055478,No class,-1,-1,-1
7006505300150005914600060103,36.50013,-3.9984648,No class,-1,-1,-1
7006471600150005914600060103,36.683069,-4.274131,No class,-1,-1,-1
7006514500150005914600060103,36.331246,-3.9122373,No class,-1,-1,-1
7006516500150005914600060103,36.333446,-3.8222636,No class,-1,-1,-1
7006516300150005914600060103,36.415579,-3.8255479,No class,-1,-1,-1
7006513500150005914600060103,36.516482,-3.9056921,No class,-1,-1,-1
